x,y,z
-1187.8834228515625,-1979.4976806640625,142.88381958007812
-1188.51708984375,-1980.1513671875,142.8765411376953
-1189.150146484375,-1980.8052978515625,142.86898803710938
-1189.7828369140625,-1981.4588623046875,142.86141967773438
-1190.415283203125,-1982.1123046875,142.8540496826172
-1191.0472412109375,-1982.7657470703125,142.846923828125
-1191.6790771484375,-1983.4188232421875,142.8397674560547
-1192.3106689453125,-1984.0716552734375,142.83267211914062
-1192.94189453125,-1984.724365234375,142.8257293701172
-1193.572998046875,-1985.3765869140625,142.8187713623047
-1194.2042236328125,-1986.028564453125,142.8116455078125
-1194.835205078125,-1986.6800537109375,142.80416870117188
-1195.466064453125,-1987.3310546875,142.7962188720703
-1196.09716796875,-1987.981689453125,142.78805541992188
-1196.728271484375,-1988.6318359375,142.7794189453125
-1197.35986328125,-1989.2813720703125,142.77035522460938
-1197.9915771484375,-1989.9305419921875,142.76109313964844
-1198.6236572265625,-1990.5791015625,142.7517547607422
-1199.2559814453125,-1991.2271728515625,142.74252319335938
-1199.8885498046875,-1991.874755859375,142.73330688476562
-1200.5216064453125,-1992.5216064453125,142.7245635986328
-1201.1552734375,-1993.1680908203125,142.71627807617188
-1201.7891845703125,-1993.8138427734375,142.70822143554688
-1202.4234619140625,-1994.4588623046875,142.70059204101562
-1203.0579833984375,-1995.1031494140625,142.69337463378906
-1203.693115234375,-1995.746826171875,142.68666076660156
-1204.3284912109375,-1996.3900146484375,142.6798553466797
-1204.96435546875,-1997.032470703125,142.6724853515625
-1205.6004638671875,-1997.6739501953125,142.66494750976562
-1206.2369384765625,-1998.31494140625,142.65704345703125
-1206.874267578125,-1998.95556640625,142.64840698242188
-1207.5123291015625,-1999.5955810546875,142.63967895507812
-1208.150634765625,-2000.2353515625,142.63116455078125
-1208.7891845703125,-2000.8743896484375,142.622802734375
-1209.42822265625,-2001.512939453125,142.61500549316406
-1210.0672607421875,-2002.151123046875,142.60757446289062
-1210.706298828125,-2002.78857421875,142.6001739501953
-1211.3455810546875,-2003.42578125,142.5927276611328
-1211.9849853515625,-2004.0626220703125,142.58493041992188
-1212.6241455078125,-2004.69921875,142.576904296875
-1213.263427734375,-2005.3358154296875,142.56884765625
-1213.90234375,-2005.9722900390625,142.56065368652344
-1214.541259765625,-2006.608642578125,142.5522003173828
-1215.1798095703125,-2007.244873046875,142.54379272460938
-1215.8179931640625,-2007.88134765625,142.5352325439453
-1216.4559326171875,-2008.5177001953125,142.52626037597656
-1217.0933837890625,-2009.154052734375,142.51699829101562
-1217.730712890625,-2009.79052734375,142.50732421875
-1218.36767578125,-2010.4273681640625,142.4972381591797
-1219.004150390625,-2011.064453125,142.4872589111328
-1219.6405029296875,-2011.7017822265625,142.47715759277344
-1220.2763671875,-2012.339111328125,142.46707153320312
-1220.91162109375,-2012.9765625,142.45753479003906
-1221.546875,-2013.6142578125,142.4483184814453
-1222.1817626953125,-2014.2520751953125,142.43922424316406
-1222.81640625,-2014.8897705078125,142.4302215576172
-1223.4505615234375,-2015.5277099609375,142.42138671875
-1224.08447265625,-2016.16552734375,142.4123992919922
-1224.7110595703125,-2016.803466796875,142.40249633789062
-1225.337646484375,-2017.4400634765625,142.39247131347656
-1225.963623046875,-2018.076416015625,142.38238525390625
-1226.5875244140625,-2018.713134765625,142.37203979492188
-1227.211181640625,-2019.349365234375,142.3616943359375
-1227.832763671875,-2019.985107421875,142.3513641357422
-1228.4521484375,-2020.6204833984375,142.34120178222656
-1229.071533203125,-2021.2552490234375,142.3314666748047
-1229.6905517578125,-2021.8895263671875,142.32164001464844
-1230.3092041015625,-2022.5233154296875,142.31146240234375
-1230.9281005859375,-2023.1566162109375,142.3013153076172
-1231.5469970703125,-2023.789794921875,142.2911376953125
-1232.1661376953125,-2024.423095703125,142.28050231933594
-1232.784912109375,-2025.056640625,142.2697296142578
-1233.4034423828125,-2025.6905517578125,142.25904846191406
-1234.021484375,-2026.324462890625,142.24842834472656
-1234.6395263671875,-2026.9583740234375,142.2378387451172
-1235.2572021484375,-2027.592529296875,142.22727966308594
-1235.874755859375,-2028.2266845703125,142.21665954589844
-1236.4923095703125,-2028.8607177734375,142.2059326171875
-1237.1099853515625,-2029.49462890625,142.19512939453125
-1237.7276611328125,-2030.12841796875,142.18443298339844
-1238.3455810546875,-2030.7618408203125,142.1735382080078
-1238.9637451171875,-2031.3948974609375,142.16259765625
-1239.58203125,-2032.027587890625,142.1518096923828
-1240.2005615234375,-2032.6600341796875,142.1405029296875
-1240.8197021484375,-2033.2918701171875,142.1293182373047
-1241.4390869140625,-2033.9234619140625,142.11846923828125
-1242.058837890625,-2034.5545654296875,142.10748291015625
-1242.67919921875,-2035.1851806640625,142.09706115722656
-1243.299560546875,-2035.8153076171875,142.0870819091797
-1243.920166015625,-2036.44482421875,142.07696533203125
-1244.5411376953125,-2037.0738525390625,142.06719970703125
-1245.1622314453125,-2037.7025146484375,142.05734252929688
-1245.783447265625,-2038.330810546875,142.04685974121094
-1246.4049072265625,-2038.958984375,142.03616333007812
-1247.0264892578125,-2039.5870361328125,142.02520751953125
-1247.6483154296875,-2040.215087890625,142.01409912109375
-1248.2701416015625,-2040.8427734375,142.00289916992188
-1248.8846435546875,-2041.4703369140625,141.99110412597656
-1249.49853515625,-2042.096923828125,141.97959899902344
-1250.11279296875,-2042.72314453125,141.96826171875
-1250.726318359375,-2043.3489990234375,141.95701599121094
-1251.3392333984375,-2043.9749755859375,141.9461212158203
-1251.951904296875,-2044.600830078125,141.93539428710938
-1252.565185546875,-2045.2264404296875,141.9247283935547
-1253.1781005859375,-2045.8519287109375,141.9142303466797
-1253.79150390625,-2046.4769287109375,141.90379333496094
-1254.4061279296875,-2047.1016845703125,141.8932647705078
-1255.0235595703125,-2047.7265625,141.8828582763672
-1255.636474609375,-2048.35205078125,141.8719482421875
-1256.245849609375,-2048.97705078125,141.8607177734375
